State,District,Year,Total_Schools,Primary_Enrollment,Upper_Primary_Enrollment,Secondary_Enrollment,Dropout_Rate_Primary,Dropout_Rate_Secondary,Girls_Enrollment_Percent,Teachers_Per_School
Jharkhand,Jharkhand District 2,2023,2902,313416,247286,175365,16.4,12.0,48.5,3.6
Jharkhand,Jharkhand District 3,2018,2052,311904,236849,167759,11.9,8.4,47.6,2.6
Jharkhand,Jharkhand District 3,2019,2052,330372,250840,165195,6.5,28.5,43.8,1.6
Jharkhand,Jharkhand District 3,2020,2052,354996,283974,180555,3.6,16.0,47.7,3.8
Jharkhand,Jharkhand District 3,2021,2052,268812,227945,134395,7.6,25.1,42.2,4.3
Jharkhand,Jharkhand District 3,2022,2052,235980,169507,119360,12.0,24.6,43.9,4.0
Jharkhand,Jharkhand District 3,2023,2052,338580,232562,182236,6.3,17.5,42.3,1.9
Jharkhand,Jharkhand District 4,2018,812,126672,102849,80424,3.8,27.2,51.8,1.7
Jharkhand,Jharkhand District 4,2019,812,125860,95164,53969,13.4,29.1,43.4,2.3
Jharkhand,Jharkhand District 4,2020,812,111244,73263,41631,12.3,9.1,51.1,3.9
Jharkhand,Jharkhand District 4,2021,812,120988,79887,46110,2.2,29.2,51.1,1.6
Jharkhand,Jharkhand District 4,2022,812,65772,48985,36582,10.6,15.3,47.7,2.4
Jharkhand,Jharkhand District 4,2023,812,117740,88243,58571,12.1,5.9,50.4,3.5
Karnataka,Bengaluru,2018,600,55200,43653,29338,12.0,9.1,47.6,4.0
Karnataka,Bengaluru,2019,600,94200,69580,53932,1.7,15.8,47.7,3.6
Karnataka,Bengaluru,2020,600,61200,38844,24134,15.8,5.6,43.0,2.7
Karnataka,Bengaluru,2021,600,83400,68494,53143,9.2,24.6,50.1,4.1
Karnataka,Bengaluru,2022,600,75600,52373,38164,7.0,10.1,45.5,1.8
Karnataka,Bengaluru,2023,600,52200,31445,22413,4.5,19.9,44.7,3.7
Karnataka,Mysuru,2018,1165,164265,117522,79994,11.1,17.8,46.9,2.6
Karnataka,Mysuru,2019,1165,196885,158275,114687,17.4,6.5,49.0,2.9
Karnataka,Mysuru,2020,1165,97860,70472,39474,10.9,20.0,42.1,2.3
Karnataka,Mysuru,2021,1165,171255,122311,72234,8.7,19.2,51.2,3.6
Karnataka,Mysuru,2022,1165,110675,90355,52324,3.0,17.8,48.3,4.3
Karnataka,Mysuru,2023,1165,223680,165432,122115,12.1,21.5,49.6,4.3
Karnataka,Mangaluru,2018,613,74786,56995,37602,12.4,28.5,51.7,4.2
Karnataka,Mangaluru,2019,613,114018,69477,53650,6.4,7.5,46.7,3.8
Karnataka,Mangaluru,2020,613,96241,59490,41365,1.7,23.3,51.6,3.8
Karnataka,Mangaluru,2021,613,82755,64357,49284,12.6,11.5,51.1,1.5
Karnataka,Mangaluru,2022,613,91337,63483,37240,15.2,20.7,48.5,2.6
Karnataka,Mangaluru,2023,613,66204,46484,30411,10.0,19.5,48.3,1.8
Karnataka,Hubli,2018,252,45360,35685,25454,9.9,27.7,47.2,4.5
Karnataka,Hubli,2019,252,25452,18934,13975,7.2,12.3,51.5,2.0
Karnataka,Hubli,2020,252,41832,25966,19503,11.4,18.4,43.6,4.4
Karnataka,Hubli,2021,252,25200,20180,12556,5.3,11.5,46.4,4.0
Karnataka,Hubli,2022,252,48636,40707,25051,7.6,25.1,44.4,4.1
Karnataka,Hubli,2023,252,30744,22727,18003,14.5,18.4,45.9,4.4
Karnataka,Belagavi,2018,908,104420,75970,57870,15.1,28.5,44.3,3.1
Karnataka,Belagavi,2019,908,123488,76192,53631,11.1,23.3,44.5,3.7
Karnataka,Belagavi,2020,908,173428,110304,62578,1.7,21.4,43.2,1.9
Karnataka,Belagavi,2021,908,100788,79252,56485,1.5,15.7,48.4,3.9
Karnataka,Belagavi,2022,908,122580,75928,50032,2.9,17.1,43.9,1.9
Karnataka,Belagavi,2023,908,135292,106376,79667,11.4,15.4,45.6,2.3
Karnataka,Kalaburagi,2018,2320,394400,239007,169215,3.9,21.6,48.2,3.8
Karnataka,Kalaburagi,2019,2320,257520,173067,112724,11.1,18.9,46.1,1.5
Karnataka,Kalaburagi,2020,2320,276080,189129,146553,9.4,23.7,49.7,4.3
Karnataka,Kalaburagi,2021,2320,215760,158908,106695,15.3,12.0,51.6,1.9
Karnataka,Kalaburagi,2022,2320,283040,221615,151043,16.3,23.8,49.9,3.9
Karnataka,Kalaburagi,2023,2320,299280,248603,187850,5.8,12.2,50.0,4.0
Karnataka,Vijayapura,2018,1586,279136,217326,153595,11.9,27.4,43.4,2.5
Karnataka,Vijayapura,2019,1586,164944,101544,76588,8.6,20.6,46.7,2.6
Karnataka,Vijayapura,2020,1586,187148,141869,111847,5.6,28.9,51.9,3.7
Karnataka,Vijayapura,2021,1586,282308,234973,140469,9.1,16.1,50.6,2.5
Karnataka,Vijayapura,2022,1586,247416,179550,118748,16.9,8.6,47.3,3.5
Karnataka,Vijayapura,2023,1586,258518,193315,117575,15.1,21.1,46.3,2.1
Karnataka,Davanagere,2018,2485,293230,239239,139447,12.3,14.4,45.0,3.2
Karnataka,Davanagere,2019,2485,337960,266207,202475,3.9,26.8,51.9,1.7
Karnataka,Davanagere,2020,2485,472150,295396,199495,8.3,23.7,48.7,3.6
Karnataka,Davanagere,2021,2485,328020,262906,172043,6.6,28.9,49.8,4.5
Karnataka,Davanagere,2022,2485,238560,188880,115685,7.0,11.3,51.8,3.2
Karnataka,Davanagere,2023,2485,335475,223035,164039,10.4,27.3,49.9,3.2
Kerala,Kerala District 1,2018,1128,225600,175198,114590,6.9,29.9,50.6,3.3
Kerala,Kerala District 1,2019,1128,131976,98703,78811,16.2,12.4,50.5,2.8
Kerala,Kerala District 1,2020,1128,136488,111706,78879,14.4,25.6,48.1,1.6
Kerala,Kerala District 1,2021,1128,129720,107194,68705,12.1,29.1,47.4,4.2
Kerala,Kerala District 1,2022,1128,212064,179605,99460,6.0,21.8,46.0,2.0
Kerala,Kerala District 1,2023,1128,102648,62188,40836,4.3,15.8,44.8,2.0
Kerala,Kerala District 2,2018,966,180642,151931,97693,8.3,18.1,43.8,4.3
Kerala,Kerala District 2,2019,966,132342,106554,79099,15.5,17.3,46.9,1.5
Kerala,Kerala District 2,2020,966,95634,65334,36318,6.7,16.5,50.4,2.5
Kerala,Kerala District 2,2021,966,175812,139115,85543,7.8,6.3,43.6,1.9
Kerala,Kerala District 2,2022,966,128478,82752,46290,11.8,7.9,49.0,2.1
Kerala,Kerala District 2,2023,966,188370,157373,98540,12.2,19.6,43.4,3.2
Kerala,Kerala District 3,2018,985,87665,69437,48709,6.6,16.3,45.1,2.1
Kerala,Kerala District 3,2019,985,133960,83974,46659,15.9,29.3,51.8,3.5
Kerala,Kerala District 3,2020,985,97515,68624,51923,11.6,24.0,47.4,3.9
Kerala,Kerala District 3,2021,985,187150,130915,76754,15.9,10.6,44.7,3.3
Kerala,Kerala District 3,2022,985,181240,144834,93204,4.6,19.0,47.8,4.0
Kerala,Kerala District 3,2023,985,183210,116490,82685,9.7,26.0,46.8,2.4
Kerala,Kerala District 4,2018,2153,282043,192609,135469,5.5,28.6,51.9,1.7
Kerala,Kerala District 4,2019,2153,387540,236768,151365,10.1,22.6,45.6,3.2
Kerala,Kerala District 4,2020,2153,208841,140073,106793,17.0,28.5,47.4,3.4
Kerala,Kerala District 4,2021,2153,372469,241850,171621,2.9,22.6,47.2,3.6
Kerala,Kerala District 4,2022,2153,357398,288831,182722,4.6,26.3,50.0,2.6
Kerala,Kerala District 4,2023,2153,290655,186536,140108,7.4,27.7,45.0,3.3
Madhya Pradesh,Bhopal,2018,2007,258903,155821,86823,5.2,22.1,45.2,2.0
Madhya Pradesh,Bhopal,2019,2007,224784,169964,105480,8.8,22.8,42.9,4.2
Madhya Pradesh,Bhopal,2020,2007,188658,141285,98812,9.1,5.2,51.1,3.4
Madhya Pradesh,Bhopal,2021,2007,365274,248009,193043,12.4,6.5,50.3,3.2
Madhya Pradesh,Bhopal,2022,2007,200700,137770,81913,9.4,25.6,50.2,3.0
Madhya Pradesh,Bhopal,2023,2007,371295,257666,194853,13.5,13.2,50.0,3.9
Madhya Pradesh,Indore,2018,1768,221000,151176,95541,5.0,7.9,51.4,2.9
Madhya Pradesh,Indore,2019,1768,305864,212631,164277,12.7,24.0,44.5,1.6
Madhya Pradesh,Indore,2020,1768,295256,205747,157503,13.1,22.0,43.5,4.2
Madhya Pradesh,Indore,2021,1768,254592,182166,103516,10.8,9.7,49.5,3.7
Madhya Pradesh,Indore,2022,1768,201552,163596,127070,12.6,5.8,45.8,3.5
Madhya Pradesh,Indore,2023,1768,164424,133128,103473,2.3,27.1,51.5,3.8
Madhya Pradesh,Jabalpur,2018,979,193842,147174,89776,13.3,10.0,47.3,3.8
Madhya Pradesh,Jabalpur,2019,979,140976,110522,70120,14.0,28.6,45.9,3.9
Madhya Pradesh,Jabalpur,2020,979,115522,90151,68465,6.6,14.8,48.9,3.2
Madhya Pradesh,Jabalpur,2021,979,130207,109802,75102,2.8,27.5,47.4,4.5
Madhya Pradesh,Jabalpur,2022,979,158598,116582,88269,6.3,7.1,43.5,3.7
Madhya Pradesh,Jabalpur,2023,979,140976,97209,69039,12.9,21.3,42.5,2.3
Madhya Pradesh,Gwalior,2018,1409,219804,148528,86959,9.4,19.5,44.6,2.3
Madhya Pradesh,Gwalior,2019,1409,123992,85202,53841,5.3,11.8,45.5,3.9
Madhya Pradesh,Gwalior,2020,1409,278982,215183,152049,16.0,25.3,45.2,3.0
Madhya Pradesh,Gwalior,2021,1409,226849,188606,119120,14.5,7.8,47.4,4.2
Madhya Pradesh,Gwalior,2022,1409,131037,90645,54327,9.2,24.7,42.0,2.0
Madhya Pradesh,Gwalior,2023,1409,154990,116354,85282,1.9,11.5,51.2,1.8
Madhya Pradesh,Ujjain,2018,1921,336175,267713,176415,17.5,24.6,44.0,2.3
Madhya Pradesh,Ujjain,2019,1921,295834,192241,120694,1.7,21.7,42.6,4.3
Madhya Pradesh,Ujjain,2020,1921,361148,221230,138890,13.6,13.7,43.7,4.1
Madhya Pradesh,Ujjain,2021,1921,270861,228276,175846,12.9,27.8,50.5,1.8
Madhya Pradesh,Ujjain,2022,1921,340017,246966,170923,7.6,27.2,45.1,4.4
Madhya Pradesh,Ujjain,2023,1921,370753,230231,143457,7.2,5.8,43.1,2.0
Madhya Pradesh,Sagar,2018,792,156816,121418,96193,14.7,9.0,51.7,3.4
Madhya Pradesh,Sagar,2019,792,136224,107357,65192,15.9,28.6,43.0,2.3
Madhya Pradesh,Sagar,2020,792,148104,106255,75125,17.0,26.4,50.4,2.3
Madhya Pradesh,Sagar,2021,792,69696,42443,31813,12.5,28.5,43.2,2.8
Madhya Pradesh,Sagar,2022,792,76032,50464,37985,1.6,13.0,43.7,2.0
Madhya Pradesh,Sagar,2023,792,137016,94514,64674,2.8,22.8,50.8,2.2
Madhya Pradesh,Dewas,2018,2010,269340,204353,139886,16.1,10.8,47.9,2.8
Madhya Pradesh,Dewas,2019,2010,381900,240155,143410,8.4,21.9,50.9,3.4
Madhya Pradesh,Dewas,2020,2010,194970,125308,89794,7.3,6.9,51.0,1.9
Madhya Pradesh,Dewas,2021,2010,293460,191476,129563,4.9,8.6,42.6,3.7
Madhya Pradesh,Dewas,2022,2010,289440,236415,164927,2.5,7.5,44.3,4.4
Madhya Pradesh,Dewas,2023,2010,249240,199581,129514,14.2,22.6,49.1,3.4
Madhya Pradesh,Satna,2018,1311,199272,131744,89897,11.3,14.1,50.4,2.3
Madhya Pradesh,Satna,2019,1311,180918,131238,72818,5.7,29.3,43.5,3.5
Madhya Pradesh,Satna,2020,1311,233358,163575,112131,5.1,13.3,47.3,4.2
Madhya Pradesh,Satna,2021,1311,191406,118391,79869,15.0,26.4,42.3,3.2
Madhya Pradesh,Satna,2022,1311,204516,130792,76080,3.2,13.9,48.9,3.6
Madhya Pradesh,Satna,2023,1311,225492,178274,140010,3.6,6.9,50.0,2.8
Maharashtra,Mumbai,2018,2495,356785,237912,170822,3.7,29.5,50.2,3.0
Maharashtra,Mumbai,2019,2495,394210,267055,194339,17.6,17.0,42.6,2.7
Maharashtra,Mumbai,2020,2495,356785,231284,147747,14.1,26.0,50.7,1.9
Maharashtra,Mumbai,2021,2495,434130,352158,240095,12.8,28.5,44.5,3.0
Maharashtra,Mumbai,2022,2495,284430,175258,111389,15.8,16.4,46.8,3.0
Maharashtra,Mumbai,2023,2495,361775,300542,224377,9.2,25.0,46.1,4.1
Maharashtra,Pune,2018,305,33855,21400,15716,10.2,20.6,47.0,3.7
Maharashtra,Pune,2019,305,31415,22765,16555,8.7,5.1,46.9,4.3
Maharashtra,Pune,2020,305,31415,23832,17612,13.6,27.5,47.2,4.0
Maharashtra,Pune,2021,305,52460,33387,21317,3.7,9.3,47.0,2.8
Maharashtra,Pune,2022,305,35380,29966,16939,9.1,12.0,49.6,3.7
Maharashtra,Pune,2023,305,37820,29819,16949,3.2,13.4,48.8,2.3
Maharashtra,Nagpur,2018,2734,541332,443707,308354,15.9,26.6,45.9,2.8
Maharashtra,Nagpur,2019,2734,500322,309210,215118,13.5,17.0,45.8,3.5
Maharashtra,Nagpur,2020,2734,527662,334864,189599,6.1,12.1,43.6,2.1
Maharashtra,Nagpur,2021,2734,380026,252120,139340,3.3,20.0,42.8,3.5
Maharashtra,Nagpur,2022,2734,270666,209932,135724,3.6,17.0,43.2,1.8
Maharashtra,Nagpur,2023,2734,347218,217039,125061,10.4,22.7,44.9,4.4
Maharashtra,Nashik,2018,1817,319792,234337,136977,13.6,19.3,44.3,2.3
Maharashtra,Nashik,2019,1817,201687,125388,71402,3.1,29.9,48.2,2.0
Maharashtra,Nashik,2020,1817,357949,220421,127735,3.7,7.9,49.8,1.8
Maharashtra,Nashik,2021,1817,350681,274758,168302,9.3,14.6,49.4,3.7
Maharashtra,Nashik,2022,1817,334328,226479,172696,12.7,10.4,49.9,3.3
Maharashtra,Nashik,2023,1817,207138,144660,79821,14.1,29.8,45.6,2.7
Maharashtra,Aurangabad,2018,2279,394267,290622,197111,7.0,5.5,46.5,3.7
Maharashtra,Aurangabad,2019,2279,335013,231458,174142,5.7,20.3,50.2,3.4
Maharashtra,Aurangabad,2020,2279,428452,278547,158042,9.1,14.5,43.4,2.9
Maharashtra,Aurangabad,2021,2279,423894,274849,181447,14.3,16.8,48.3,3.1
Maharashtra,Aurangabad,2022,2279,403383,320784,230833,11.6,24.7,51.0,3.9
Maharashtra,Aurangabad,2023,2279,341850,240277,147360,14.8,26.2,50.3,2.6
Maharashtra,Solapur,2018,2340,383760,326024,197203,11.1,25.6,47.5,4.0
Maharashtra,Solapur,2019,2340,252720,163448,113972,6.0,12.1,46.7,3.8
Maharashtra,Solapur,2020,2340,381420,284797,166616,13.1,26.6,49.9,4.4
Maharashtra,Solapur,2021,2340,423540,289245,179457,7.2,6.0,47.9,1.8
Maharashtra,Solapur,2022,2340,238680,156708,105962,7.5,23.7,46.3,2.0
Maharashtra,Solapur,2023,2340,322920,201830,135872,15.0,10.5,45.7,3.9
Maharashtra,Amravati,2018,212,37524,22517,14651,15.3,21.5,47.4,1.9
Maharashtra,Amravati,2019,212,34556,23068,16325,7.0,28.7,47.7,2.5
Maharashtra,Amravati,2020,212,30316,18772,11220,9.9,10.4,51.2,2.2
Maharashtra,Amravati,2021,212,38372,28296,19205,12.7,10.2,44.0,1.7
Maharashtra,Amravati,2022,212,36252,26856,20707,13.8,5.7,46.9,4.0
Maharashtra,Amravati,2023,212,19080,14649,9902,12.4,17.5,47.8,4.1
Maharashtra,Kolhapur,2018,2666,421228,335303,247637,5.1,16.8,48.3,4.4
Maharashtra,Kolhapur,2019,2666,287928,222571,129007,1.7,6.1,48.9,4.3
Maharashtra,Kolhapur,2020,2666,317254,199162,126439,6.2,9.6,42.5,4.1
Maharashtra,Kolhapur,2021,2666,474548,313961,210125,7.3,20.9,48.5,2.5
Maharashtra,Kolhapur,2022,2666,490544,373555,231762,5.7,19.2,51.3,4.1
Maharashtra,Kolhapur,2023,2666,311922,209250,117308,14.3,9.9,45.0,2.6
Manipur,Manipur District 1,2018,262,38514,31113,20827,5.5,22.0,49.5,4.4
Manipur,Manipur District 1,2019,262,33798,27265,21333,17.6,28.5,45.5,4.1
Manipur,Manipur District 1,2020,262,22532,16688,10268,13.0,6.0,48.5,3.6
Manipur,Manipur District 1,2021,262,25152,21191,12626,3.9,28.3,49.7,4.5
Manipur,Manipur District 1,2022,262,26986,20679,11930,4.2,24.1,46.1,3.3
Manipur,Manipur District 1,2023,262,43754,37129,28017,10.0,11.5,49.9,3.1
Manipur,Manipur District 2,2018,851,164243,138461,87617,11.3,8.6,43.9,3.9
Manipur,Manipur District 2,2019,851,86802,70226,55584,3.0,6.6,50.9,1.6
Manipur,Manipur District 2,2020,851,92759,70445,50532,2.9,24.8,44.0,3.0
Manipur,Manipur District 2,2021,851,96163,62094,43294,16.9,7.1,45.5,4.4
Manipur,Manipur District 2,2022,851,90206,56519,43374,16.8,5.2,46.1,3.6
Manipur,Manipur District 2,2023,851,170200,111284,66645,17.8,14.4,47.0,1.9
Manipur,Manipur District 3,2018,1764,333396,224980,173524,7.0,20.5,46.1,1.7
Manipur,Manipur District 3,2019,1764,284004,217213,154437,17.2,17.7,50.4,3.2
Manipur,Manipur District 3,2020,1764,338688,230819,145085,11.3,28.1,45.2,2.1
Manipur,Manipur District 3,2021,1764,172872,112338,69851,17.9,12.0,49.7,3.5
Manipur,Manipur District 3,2022,1764,155232,108491,70781,8.7,10.5,43.2,3.7
Manipur,Manipur District 3,2023,1764,335160,249181,190583,2.5,13.6,43.8,1.6
Manipur,Manipur District 4,2018,1071,201348,134146,78016,5.6,21.8,43.1,1.7
Manipur,Manipur District 4,2019,1071,123165,101743,57794,16.6,18.4,46.1,2.0
Manipur,Manipur District 4,2020,1071,167076,138294,91551,15.9,10.7,45.8,4.1
Manipur,Manipur District 4,2021,1071,125307,85476,54693,14.5,7.6,52.0,2.4
Manipur,Manipur District 4,2022,1071,109242,75148,58871,13.5,22.4,45.7,3.6
Manipur,Manipur District 4,2023,1071,214200,144119,111859,2.6,10.5,44.3,4.5
Meghalaya,Meghalaya District 1,2018,2833,538270,410980,253702,16.2,10.8,45.6,1.9
Meghalaya,Meghalaya District 1,2019,2833,555268,397603,284483,5.3,27.8,49.1,4.0
Meghalaya,Meghalaya District 1,2020,2833,345626,251481,141675,1.9,5.9,50.6,1.9
Meghalaya,Meghalaya District 1,2021,2833,447614,329647,232131,12.8,19.3,52.0,4.0
Meghalaya,Meghalaya District 1,2022,2833,555268,394290,308055,3.5,10.2,45.1,4.2
Meghalaya,Meghalaya District 1,2023,2833,252137,212935,144369,1.7,16.6,43.2,3.7
Meghalaya,Meghalaya District 2,2018,2747,513689,401404,232285,2.1,18.1,50.0,1.7
Meghalaya,Meghalaya District 2,2019,2747,414797,281748,172651,2.5,14.6,51.2,3.0
Meghalaya,Meghalaya District 2,2020,2747,494460,393904,272691,1.5,13.2,44.0,4.0
Meghalaya,Meghalaya District 2,2021,2747,417544,303320,241639,15.0,21.8,43.4,3.5
Meghalaya,Meghalaya District 2,2022,2747,368098,238537,150710,7.2,25.3,46.5,4.0
Meghalaya,Meghalaya District 2,2023,2747,431279,358734,277888,13.0,15.0,48.5,1.9
Meghalaya,Meghalaya District 3,2018,1895,195185,158786,119734,8.4,16.7,49.3,3.3
Meghalaya,Meghalaya District 3,2019,1895,363840,295172,199187,12.9,24.5,43.2,3.4
Meghalaya,Meghalaya District 3,2020,1895,242560,199740,144359,3.3,15.2,48.5,2.1
Meghalaya,Meghalaya District 3,2021,1895,168655,119435,93578,8.1,8.8,43.5,2.5
Meghalaya,Meghalaya District 3,2022,1895,367630,271944,206165,9.0,27.7,43.0,2.2
Meghalaya,Meghalaya District 3,2023,1895,295620,228998,168927,13.1,22.1,42.8,1.6
Meghalaya,Meghalaya District 4,2018,665,101080,77930,50445,16.8,11.1,46.6,3.9
Meghalaya,Meghalaya District 4,2019,665,108395,85804,52404,17.0,25.7,48.6,3.5
Meghalaya,Meghalaya District 4,2020,665,118370,78939,45730,8.0,23.5,47.4,4.3
Meghalaya,Meghalaya District 4,2021,665,87115,63340,38230,3.5,6.1,49.2,2.5
Meghalaya,Meghalaya District 4,2022,665,104405,64037,38755,14.9,27.3,51.8,2.7
Meghalaya,Meghalaya District 4,2023,665,61845,38987,25074,8.7,7.4,47.7,2.2
Mizoram,Mizoram District 1,2018,1569,283989,187197,107888,16.4,22.2,48.9,3.0
Mizoram,Mizoram District 1,2019,1569,301248,191614,109296,12.5,8.3,44.9,2.1
Mizoram,Mizoram District 1,2020,1569,197694,164897,127948,6.9,5.6,46.2,3.2
Mizoram,Mizoram District 1,2021,1569,163176,115677,64115,13.5,5.0,47.3,1.6
Mizoram,Mizoram District 1,2022,1569,279282,179518,134449,7.0,13.6,45.2,2.3
Mizoram,Mizoram District 1,2023,1569,200832,156335,101272,14.5,24.1,45.9,3.5
Mizoram,Mizoram District 2,2018,2591,453425,283720,176697,10.6,28.0,42.5,4.1
Mizoram,Mizoram District 2,2019,2591,287601,188918,139127,15.3,12.2,47.5,2.0
Mizoram,Mizoram District 2,2020,2591,225417,183268,102692,9.8,28.2,47.9,2.9
Mizoram,Mizoram District 2,2021,2591,492290,354704,241492,10.4,23.0,45.0,2.2
Mizoram,Mizoram District 2,2022,2591,316102,262513,193085,6.7,27.4,49.7,2.0
Mizoram,Mizoram District 2,2023,2591,279828,211455,132592,8.7,21.3,43.1,3.0
Mizoram,Mizoram District 3,2018,2458,344120,282843,222086,15.5,25.0,44.8,3.2
Mizoram,Mizoram District 3,2019,2458,312166,212785,152803,9.1,12.9,48.4,2.1
Mizoram,Mizoram District 3,2020,2458,270380,186994,138369,17.3,22.0,50.3,2.0
Mizoram,Mizoram District 3,2021,2458,302334,204091,134544,15.8,18.3,51.0,2.6
Mizoram,Mizoram District 3,2022,2458,471936,306722,222362,4.3,24.5,47.3,4.4
Mizoram,Mizoram District 3,2023,2458,258090,173757,122667,4.9,18.4,51.1,3.8
Mizoram,Mizoram District 4,2018,2412,301500,191190,113570,3.2,29.2,43.8,3.4
Mizoram,Mizoram District 4,2019,2412,455868,337465,262900,4.9,20.8,50.1,1.6
Mizoram,Mizoram District 4,2020,2412,246024,193839,137816,16.3,15.4,51.9,4.4
Mizoram,Mizoram District 4,2021,2412,467928,347704,256382,1.5,13.8,43.5,1.9
Mizoram,Mizoram District 4,2022,2412,217080,162514,112883,7.2,19.6,48.2,3.1
Mizoram,Mizoram District 4,2023,2412,378684,272237,164168,13.8,7.7,42.5,2.1
Nagaland,Nagaland District 1,2018,724,119460,84172,59237,3.2,9.0,50.9,3.4
Nagaland,Nagaland District 1,2019,724,92672,73936,56234,17.6,9.2,49.3,2.9
Nagaland,Nagaland District 1,2020,724,73124,58420,36365,2.1,10.0,46.7,4.2
Nagaland,Nagaland District 1,2021,724,135388,90412,63436,6.4,15.2,47.0,3.4
Nagaland,Nagaland District 1,2022,724,61540,44011,26577,5.5,29.5,45.1,2.2
Nagaland,Nagaland District 1,2023,724,133940,81960,58045,7.7,25.5,44.4,2.2
Nagaland,Nagaland District 2,2018,2059,337676,276649,174996,6.3,9.8,46.9,2.2
Nagaland,Nagaland District 2,2019,2059,199723,126955,70221,9.7,7.6,46.1,2.9
Nagaland,Nagaland District 2,2020,2059,302673,182545,106478,15.1,20.5,44.1,2.6
Nagaland,Nagaland District 2,2021,2059,380915,239074,138518,13.2,22.3,44.5,3.5
Nagaland,Nagaland District 2,2022,2059,352089,276549,173256,6.6,12.5,50.2,4.2
Nagaland,Nagaland District 2,2023,2059,189428,147344,81537,13.4,9.5,46.4,3.0
Nagaland,Nagaland District 3,2018,1178,130758,106424,68385,3.1,17.5,47.4,1.7
Nagaland,Nagaland District 3,2019,1178,214396,171097,115329,14.4,17.6,44.7,3.3
Nagaland,Nagaland District 3,2020,1178,121334,90022,54827,3.3,10.0,49.7,3.5
Nagaland,Nagaland District 3,2021,1178,98952,63422,40354,4.3,28.1,51.0,4.2
Nagaland,Nagaland District 3,2022,1178,146072,121780,68597,10.9,9.6,51.2,1.7
Nagaland,Nagaland District 3,2023,1178,114266,82891,54443,14.0,14.3,44.1,4.4
Nagaland,Nagaland District 4,2018,2352,444528,367529,234190,3.3,9.8,49.9,4.5
Nagaland,Nagaland District 4,2019,2352,439824,277715,169559,3.6,14.9,43.9,4.3
Nagaland,Nagaland District 4,2020,2352,418656,271295,168464,7.3,20.9,47.4,1.9
Nagaland,Nagaland District 4,2021,2352,317520,217503,156197,5.6,26.8,49.0,3.6
Nagaland,Nagaland District 4,2022,2352,468048,396841,295839,2.3,6.0,50.7,2.8
Nagaland,Nagaland District 4,2023,2352,385728,264504,184750,1.8,11.0,42.7,3.1
Odisha,Odisha District 1,2018,2176,241536,193965,146456,5.8,10.3,46.8,1.9
Odisha,Odisha District 1,2019,2176,224128,182428,107291,13.1,7.8,44.5,4.3
Odisha,Odisha District 1,2020,2176,230656,173297,107260,11.3,21.8,45.8,2.4
Odisha,Odisha District 1,2021,2176,261120,165858,128902,17.2,25.9,42.3,4.1
Odisha,Odisha District 1,2022,2176,409088,303536,203618,12.1,29.6,44.5,2.8
Odisha,Odisha District 1,2023,2176,363392,301052,206611,4.9,28.7,50.2,4.0
Odisha,Odisha District 2,2018,1003,104312,80672,57614,6.6,7.2,49.2,1.9
Odisha,Odisha District 2,2019,1003,102306,62649,38384,5.1,28.6,43.3,4.0
Odisha,Odisha District 2,2020,1003,115345,96695,75204,16.9,23.8,44.5,4.4
Odisha,Odisha District 2,2021,1003,91273,71653,49779,13.8,13.5,46.3,3.4
Odisha,Odisha District 2,2022,1003,142426,100490,68904,5.4,18.7,51.8,4.4
Odisha,Odisha District 2,2023,1003,113339,72201,55735,3.1,19.9,48.3,2.3
Odisha,Odisha District 3,2018,1979,237480,149696,119641,3.4,14.7,51.4,4.2
Odisha,Odisha District 3,2019,1979,393821,317197,176258,7.7,21.2,48.8,3.3
Odisha,Odisha District 3,2020,1979,259249,170950,107194,6.6,23.7,43.1,2.8
Odisha,Odisha District 3,2021,1979,304766,185768,142611,4.8,9.6,49.2,1.9
Odisha,Odisha District 3,2022,1979,253312,206783,156738,6.4,15.9,51.4,4.2
Odisha,Odisha District 3,2023,1979,322577,273358,213429,2.8,19.3,44.5,2.4
Odisha,Odisha District 4,2018,555,77145,54573,31571,5.5,24.0,43.8,2.6
Odisha,Odisha District 4,2019,555,62160,50860,32474,7.7,13.5,47.2,4.2
Odisha,Odisha District 4,2020,555,82140,54953,42307,17.6,5.6,48.3,2.1
Odisha,Odisha District 4,2021,555,66600,49675,37777,5.1,29.6,49.0,3.2
Odisha,Odisha District 4,2022,555,56610,47388,37835,8.4,10.3,50.2,4.1
Odisha,Odisha District 4,2023,555,68265,49723,31278,15.5,6.7,46.3,3.9
Punjab,Punjab District 1,2018,482,52056,31497,21132,3.5,18.3,45.3,4.0
Punjab,Punjab District 1,2019,482,74228,56755,37847,11.5,10.4,51.3,1.5
Punjab,Punjab District 1,2020,482,92062,75931,49120,12.6,28.3,49.8,3.9
Punjab,Punjab District 1,2021,482,60732,40418,30757,17.0,20.0,49.5,2.9
Punjab,Punjab District 1,2022,482,54948,37950,28043,18.0,12.3,51.9,3.1
Punjab,Punjab District 1,2023,482,69408,57065,34535,11.1,25.3,46.2,3.1
Punjab,Punjab District 2,2018,985,107365,78688,52742,9.9,15.3,43.9,3.7
Punjab,Punjab District 2,2019,985,166465,121931,85963,3.5,22.3,42.4,2.6
Punjab,Punjab District 2,2020,985,140855,101220,76208,5.5,5.8,44.4,1.8
Punjab,Punjab District 2,2021,985,162525,119748,71275,6.3,21.7,42.4,4.5
